market	korean_name	english_name
KRW-BTC	비트코인	Bitcoin
KRW-ETH	이더리움	Ethereum
BTC-ETH	이더리움	Ethereum
BTC-LTC	라이트코인	Litecoin
BTC-XRP	리플	Ripple
BTC-ETC	이더리움클래식	Ethereum Classic
BTC-OMG	오미세고	OmiseGo
BTC-CVC	시빅	Civic
BTC-DGB	디지바이트	DigiByte
BTC-SC	시아코인	Siacoin
BTC-SNT	스테이터스네트워크토큰	Status Network Token
BTC-WAVES	웨이브	Waves
BTC-NMR	뉴메레르	Numeraire
BTC-XEM	넴	NEM
BTC-QTUM	퀀텀	Qtum
BTC-BAT	베이직어텐션토큰	Basic Attention Token
BTC-LSK	리스크	Lisk
BTC-STEEM	스팀	Steem
BTC-DOGE	도지코인	Dogecoin
BTC-BNT	뱅코르	Bancor
BTC-XLM	스텔라루멘	Lumen
BTC-ARDR	아더	Ardor
BTC-ARK	아크	Ark
BTC-STORJ	스토리지	Storj
BTC-GRS	그로스톨코인	Groestlcoin
BTC-REP	어거	Augur
BTC-RLC	아이젝	iEx.ec
USDT-BTC	비트코인	Bitcoin
USDT-ETH	이더리움	Ethereum
USDT-LTC	라이트코인	Litecoin
USDT-XRP	리플	Ripple
USDT-ETC	이더리움클래식	Ethereum Classic
KRW-NEO	네오	NEO
KRW-MTL	메탈	Metal
KRW-LTC	라이트코인	Litecoin
KRW-XRP	리플	Ripple
KRW-ETC	이더리움클래식	Ethereum Classic
KRW-OMG	오미세고	OmiseGo
KRW-SNT	스테이터스네트워크토큰	Status Network Token
KRW-WAVES	웨이브	Waves
KRW-XEM	넴	NEM
KRW-QTUM	퀀텀	Qtum
KRW-LSK	리스크	Lisk
KRW-STEEM	스팀	Steem
KRW-XLM	스텔라루멘	Lumen
KRW-ARDR	아더	Ardor
KRW-ARK	아크	Ark
KRW-STORJ	스토리지	Storj
KRW-GRS	그로스톨코인	Groestlcoin
KRW-REP	어거	Augur
KRW-ADA	에이다	Ada
BTC-ADA	에이다	Ada
BTC-MANA	디센트럴랜드	Decentraland
USDT-OMG	오미세고	OmiseGo
KRW-SBD	스팀달러	SteemDollars
BTC-SBD	스팀달러	SteemDollars
KRW-POWR	파워렛저	Power ledger
BTC-POWR	파워렛저	Power ledger
KRW-BTG	비트코인골드	Bitcoin Gold
USDT-ADA	에이다	Ada
BTC-DNT	디스트릭트0x	district0x
BTC-ZRX	제로엑스	0x Protocol
BTC-TRX	트론	TRON
BTC-TUSD	트루USD	TrueUSD
BTC-LRC	루프링	Loopring
KRW-ICX	아이콘	Icon
KRW-EOS	이오스	EOS
USDT-TUSD	트루USD	TrueUSD
KRW-TRX	트론	TRON
BTC-POLY	폴리매쓰	Polymath
USDT-SC	시아코인	Siacoin
USDT-TRX	트론	TRON
KRW-SC	시아코인	Siacoin
KRW-ONT	온톨로지	Ontology
KRW-ZIL	질리카	Zilliqa
KRW-POLY	폴리매쓰	Polymath
KRW-ZRX	제로엑스	0x Protocol
KRW-LOOM	룸네트워크	Loom Network
BTC-BCH	비트코인캐시	Bitcoin Cash
USDT-BCH	비트코인캐시	Bitcoin Cash
KRW-BCH	비트코인캐시	Bitcoin Cash
BTC-MFT	메인프레임	Mainframe
BTC-LOOM	룸네트워크	Loom Network
KRW-BAT	베이직어텐션토큰	Basic Attention Token
KRW-IOST	아이오에스티	IOST
BTC-RFR	리퍼리움	Refereum
KRW-RFR	리퍼리움	Refereum
USDT-DGB	디지바이트	DigiByte
KRW-CVC	시빅	Civic
KRW-IQ	에브리피디아	Everipedia
KRW-IOTA	아이오타	IOTA
BTC-RVN	레이븐코인	Ravencoin
BTC-GO	고체인	GoChain
BTC-UPP	센티넬프로토콜	Sentinel Protocol
BTC-ENJ	엔진코인	Enjin
KRW-MFT	메인프레임	Mainframe
KRW-ONG	온톨로지가스	ONG
KRW-GAS	가스	GAS
BTC-MTL	메탈	Metal
KRW-UPP	센티넬프로토콜	Sentinel Protocol
KRW-ELF	엘프	aelf
USDT-DOGE	도지코인	Dogecoin
USDT-ZRX	제로엑스	0x Protocol
USDT-RVN	레이븐코인	Ravencoin
USDT-BAT	베이직어텐션토큰	Basic Attention Token
KRW-KNC	카이버네트워크	Kyber Network
BTC-MOC	모스코인	Moss Coin
BTC-ZIL	질리카	Zilliqa
KRW-BSV	비트코인에스브이	Bitcoin SV
BTC-BSV	비트코인에스브이	Bitcoin SV
BTC-IOST	아이오에스티	IOST
KRW-THETA	쎄타토큰	Theta Token
BTC-DENT	덴트	Dent
KRW-QKC	쿼크체인	QuarkChain
BTC-ELF	엘프	aelf
KRW-BTT	비트토렌트	BitTorrent
BTC-IOTX	아이오텍스	IoTeX
BTC-SOLVE	솔브케어	Solve.Care
BTC-NKN	엔케이엔	NKN
BTC-META	메타디움	Metadium
KRW-MOC	모스코인	Moss Coin
BTC-ANKR	앵커	Ankr
BTC-CRO	크로노스	Cronos
KRW-ENJ	엔진코인	Enjin
KRW-TFUEL	쎄타퓨엘	Theta Fuel
KRW-MANA	디센트럴랜드	Decentraland
KRW-ANKR	앵커	Ankr
BTC-ORBS	오브스	Orbs
BTC-AERGO	아르고	Aergo
KRW-AERGO	아르고	Aergo
KRW-ATOM	코스모스	Cosmos
KRW-TT	썬더코어	ThunderCore
KRW-CRE	캐리프로토콜	Carry Protocol
BTC-ATOM	코스모스	Cosmos
BTC-STPT	에스티피	Standard Tokenization Protocol
KRW-MBL	무비블록	MovieBloc
BTC-EOS	이오스	EOS
BTC-LUNA	루나	Luna
BTC-DAI	다이	Dai
BTC-MKR	메이커	Maker
BTC-BORA	보라	BORA
KRW-WAXP	왁스	WAX
BTC-WAXP	왁스	WAX
KRW-HBAR	헤데라	Hedera
KRW-MED	메디블록	MediBloc
BTC-MED	메디블록	MediBloc
BTC-MLK	밀크	MiL.k
KRW-MLK	밀크	MiL.k
